"delete_master_document","Delete master document"
"password_protection","Password-Protection"
"http_auth_warning","WARNING: This applies to all all websites"
"logger","Logger"
"redirect_unknown_domains_to_main_domain","Redirect unknown domains (not used for a site and for redirects, ...) to the main domain (above)"
"colorspace","Colorspace"
"in_this_case_a_developer_has_to_implement_a_logic_which_handles_this_action","In this case a developer has to implement the logic to handle this action (there are no further settings)"
"programmatically","Programmatically"
"hours","Horas"
"minutes","Minutos"
"seconds","Segundos"
"link_clicked","Enlace pulsado"
"number_of_links_clicked","Número de enlaces pulsados"
"operating_system","Sistema Operativo"
"hardware_platform","Plataforma de Hardware"
"tablet","Tabla"
"time_on_site","Time on site"
"visited_pages_before_number","Visited n-pages before"
"number","Número"
"visited_page_before","Página visitada anteriormente"
"searchengine","Motor de Búsqueda"
"referrer","Referido"
"referring_site","Referring Site"
"regular_expression","Expresión regular"
"method","Método"
"hardlink","Hardlink"
"convert_to","Convertir a"
"enable_targeting","Enable Targeting"
"AND","Y"
"OR","O"
"AND_NOT","Y NO"
"create_a_variant_from_this_page","Create a new variant from the current page to provide a modified version"
"radius_in_km","Radio (km)"
"replace","Reemplazar"
"redirect","Redirigir"
"event","Evento"
"code_snippet","Code-Snippet"
"browser","Navegador"
"conditions","Condiciones"
"problem_creating_new_target","Ha ocurrido un problema mientras se creaba un nuevo objeto"
"enter_the_name_of_the_new_target","Introduce el nombre del nuevo objeto"
"add_target","Añadir Objeto"
"targeting","Targeting"
"debug_admin_translations","Debug Admin-Translations (wrapped in +)"
"paste_inheritance","Pegar (herencia)"
"are_you_sure","¿Está seguro?"
"all_content_will_be_lost","Todo perderá todo el contenido"
"apply_new_master_document","Aplicar nuevo documento maestro"
"empty_content_master_content","Vaciar Contenido - Es útil después de definir un nuevo documento maestro"
"content_master_document","Content-Master Document"
"overwrite","Sobreescribir"
"click_right_to_overwrite","Click derecho para sobreescribir"
"open_document_by_id","Abrir documento mediante ID"
"open_asset_by_id","Abrir recurso mediante ID"
"open_object_by_id","Abrir objeto mediante ID"
"please_enter_the_id_of_the_asset","Por favor, ingrese el ID del recurso"
"please_enter_the_id_of_the_object","Por favor, ingrese el ID del objeto"
"please_enter_the_id_of_the_document","Por favor, ingrese el ID del documento"
"open_by_id","Abrir mediante ID"
"element_not_found","Elemento no encontrado"
"short_url","URL Corta"
"width_and_height_must_be_an_even_number","ancho y alto deben ser un número par"
"path_or_url_incl_http","Ruta o URL (incluído http://)"
"no_matching_document_found_for","No matching document found for"
"open_document_by_url","Abrir documento mediante URL"
"server_api_key","API-Key Servidor"
"browser_api_key","API-Key Navegador"
"add_childs","Añadir hijos"
"url_incl_http","URL incluído http://"
"import_from_url","Importar desde la URL"
"source_site","Sitio origen"
"target_site","Sitio destino"
"source_entire_url","Entire URL as Source"
"auto_reload","Autorecarga"
"do_you_really_want_to_leave_the_editmode","¿Quiere abandonar el modo edición? (NO!)"
"or_specify_an_asset_image_below","o especifique un recurso de imagen debajo"
"analytics_internalid","GA ID Interno"
"show_in_google_anaytics","Mostrar en Google Analytics"
"medium","Medio"
"style","Estilo"
"foreground_color","Color"
"background_color","Color de fondo"
"enter_the_name_of_the_new_qrcode","Ingrese el nombre del nuevo Código QR"
"problem_creating_new_qrcode","Ocurrió un problema mientras se creaba el Código QR"
"saved_successfully","Guardado correctamente"
"qr_codes","Códigos QR"
"add_qr_code","Añadir un Código QR"
"element","Elemento"
"notes","Notas"
"details_for_selected_event","Detelles del elemento seleccionado"
"fields","Campos"
"events","Eventos"
"analytics_settings_description","Para usar la integración completa de Google Analytics, por favor configure la Cuenta para Servicios API de Google en la Configuración del Sistema"
"webastertools_settings_description","Para usar la integración de Google Webmaster Tools, por favor configure la Cuenta para Servicios API de Google en la Configuración del Sistema"
"google_api_key_missing","Google API private key is missing (p12 file from API Console), please put it into the following location:"
"google_api_private_key_installed","Your Google API private key is installed correctly"
"google_api_access_description","This is required for the Google API integrations. Only use a `Service Account´ from the Google API Console."
"not_possible_with_paging","Sorry, this is not possible in elements which are paged, try to restructure your data to avoid pages in the tree"
"not_supported_by_your_browser","This feature is not supported by your browser, please update to the latest version"
"absolute_path_to_icc_rgb_profile","Ruta absoluta al perfil ICC RGB"
"absolute_path_to_icc_cmyk_profile","Ruta absoluta al perfil ICC CMYK"
"upload_path","Ruta de subida"
"inherited","Heredado"
"length","Distancia"
"selection_options","Selección de opciones"
"show_in_tree","Mostrar en arbol"
"exactmatch","Coincidencia exacta"
"open_document","Abrir documento"
"open_image","Abrir imagen"
"expiry","Expiración"
"mobile","Móvil"
"desktop","Escritorio"
"drag_me","Arrastrame"
"parameterPost","Parámetros POST"
"parameterGet","Parámetros GET"
"cookies","Cookies"
"serverVars","Variables de servidor"
"group_by_path","Agrupar por ruta"
"flush","Vaciar"
"errors_from_the_last_14_days","Errores en los últimos 14 días"
"http_errors","Errores HTTP"
"create_redirect_for_moved_renamed_page","Crear automáticamente una redirección cuando una página es movida o renombrada"
"show_close_warning","Mostrar advertencia de cierre"
"attributes","Atributos"
"matching_text","Texto coincidente"
"tag_saved_successfully","Etiqueta de guardado con éxito"
"thumbnail_saved_successfully","Imagen guardado con éxito"
"any","Cualquiera"
"http_method","Método HTTP"
"url_pattern","Patrón URL"
"beginning","Iniciando"
"element_css_selector","Elemento (selector CSS)"
"insert_position","Inserte la posición"
"code","Código"
"tags","Etiquetas"
"problem_creating_new_tag","Hubo un problema durante la creación de una nueva etiqueta"
"enter_the_name_of_the_new_tag","Ingrese el nombre de la nueva etiqueta"
"add_tag","Agregar etiqueta"
"tag_snippet_management","Tag & Snippet Management"
"import_class_definition","Importar Definición de Clase del Objeto"
"Click here to proceed","Click aqui para proceder"
"Your browser is not supported. Please install the latest version of one of the following browsers.","Tu navegador no es soportado. Por favor instale la ultima versión de uno de los siguientes navegadores."
"open_in_new_window","Abrir en una Ventana nueva"
"limit_reached","Limite alcanzado"
"robots_txt_exists_on_filesystem","El robots.txt ya existe en el directorio raiz del sistema de archivos"
"images_with_alt","Imagenes con alt-Text"
"images_without_alt","Imagenes sin alt-Text"
"external_links","Enlaces Externos"
"links","Enlaces"
"only_required_for_reporting_in_pimcore_but_not_for_code_integration","Lo siguiente es sólo necesario si quieres usar las funcionalidades de informes en pimcore, pero no es necesario para la integración de código."
"analytics_additional_code","Additional tracking parameters, eg. _gaq.push(['_setDomainName', 'example.com']);"
"analytics_additional_code_before_pageview","Additional tracking parameters, which need to be added before track page view, eg. _gaq.push (['_gat._anonymizeIp']);"
"casesensitive","sensible a mayúsculas"
"path_aliases","Alias de ruta"
"path_error_message","Una ruta debe comenzar con / y debería sólo contener los siguientes caracteres: a-zA-Z0-9-_./"
"pretty_url","URL Amigable"
"pretty_url_label","URL Amigable (sobreescribe el camino de la estructura-de-arbol)"
"search_engine_optimization","Optimización para los Motores de Búsqueda"
"save_success","Guardado con éxito"
"save_error","No se pueden guardar los datos"
"password_cannot_be_changed","No es posible cambiar la contrasela"
"old_password","Contraseña Antigua"
"new_password","Nueva Contraseña"
"retype_password","Repite la Contraseña"
"document_seo_analysis_overview","Resumen de Análisis SEO del Documento"
"clear_temp_files","Borrar archivos temporales"
"reports","Reportes"
"routes","Rutas"
"all_roles","Todos los Roles"
"add_role","Añadir Rol"
"role_creation_error","No es posible crear un rol"
"role_save_success","El Rol se ha guardado existosamente"
"role_save_error","No es posible guardar el rol"
"roles","Roles"
"workspaces","Espacios de trabajo"
"Username","Usuario"
